Country,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Total score,Region,Cluster,Income group,Political regime
Slovenia,13.02,72.06,94.55,19.1,1.06,80.38,0.61,40.11,Europe,Waking up,High,Electoral democracy
New Zealand,23.3,69.78,90.35,12.23,5.96,47.62,2.49,35.96,Asia-Pacific,Waking up,High,Liberal democracy
Italy,11.09,64.76,83.25,20.3,14.66,61.43,2.64,36.88,Europe,Waking up,High,Liberal democracy
Russia,12.46,62.59,52.85,14.21,19.48,90.4,1.38,36.2,Europe,Waking up,Upper middle,Electoral autocracy
Malta,15.87,67.12,70.96,5.96,11.72,70.49,4.3,35.2,Europe,Waking up,High,Electoral democracy
United Arab Emirates,2.65,79.16,72.12,5.13,15.53,81.38,3.22,37.03,Middle East,Waking up,High,Closed autocracy
Portugal,13.43,64.2,80.66,8.96,3.92,70.69,2.05,34.84,Europe,Waking up,High,Electoral democracy
Czech Republic,11.11,64.26,76.97,11.26,2.7,70.29,1.75,34.05,Europe,Waking up,High,Electoral democracy
Iceland,18.45,72.45,41.19,18.29,0.19,22.15,5.74,25.49,Europe,Waking up,High,Liberal democracy
Lithuania,14.3,63.19,80.67,3.22,6.18,64.28,1.77,33.37,Europe,Waking up,High,Electoral democracy
Brazil,13.46,62.61,72.82,4.83,5.07,67.72,1.36,32.55,Americas,Waking up,Upper middle,Electoral democracy
Greece,7.62,55.44,83.58,15.12,2.21,22.15,0.92,26.72,Europe,Waking up,High,Liberal democracy
Slovakia,8.55,65.36,88.71,2.97,0.34,43.07,0.67,29.95,Europe,Waking up,High,Electoral democracy
Hungary,10.34,69.17,58.01,4.31,5.4,55.01,1.08,29.05,Europe,Waking up,High,Electoral autocracy
Malaysia,10.44,62.04,73.24,5.57,0.88,47.6,0.63,28.63,Asia-Pacific,Waking up,Upper middle,Electoral autocracy
Mexico,1.72,41.85,97.03,8.11,4.46,54.21,0.78,29.74,Americas,Waking up,Upper middle,Electoral democracy
Chile,10.56,61.97,56.73,1.49,0.67,60.5,2.95,27.84,Americas,Waking up,High,Liberal democracy
Argentina,8.4,56.15,75.95,1.25,3.19,54.94,0.34,28.6,Americas,Waking up,Upper middle,Electoral democracy
Qatar,0.0,67.97,62.58,11.94,0.0,33.49,0.0,25.14,Middle East,Waking up,High,Closed autocracy
Turkey,8.49,40.74,64.34,9.53,1.02,67.45,0.95,27.5,Europe,Waking up,High,Electoral democracy
Colombia,4.97,54.8,62.37,0.0,0.89,85.29,0.5,29.83,Americas,Waking up,Upper middle,Electoral democracy
Uruguay,7.28,58.77,70.75,0.73,0.26,30.92,0.43,24.16,Americas,Waking up,High,Liberal democracy
Bahrain,4.99,60.39,60.9,2.53,0.0,17.72,0.24,20.97,Middle East,Waking up,High,Closed autocracy
Vietnam,6.34,55.76,37.61,2.03,0.3,68.86,0.31,24.46,Asia-Pacific,Waking up,Lower middle,Closed autocracy
Indonesia,5.51,47.52,51.18,0.98,3.52,59.99,0.91,24.23,Asia-Pacific,Waking up,Lower middle,Electoral democracy
Tunisia,8.94,38.59,62.32,3.9,0.0,12.18,0.15,18.01,Africa,Waking up,Lower middle,Electoral democracy
South Africa,4.61,45.73,58.43,0.83,7.52,0.0,2.03,17.02,Africa,Waking up,Upper middle,Electoral democracy
Morocco,3.36,44.88,60.17,1.46,0.05,15.9,0.1,17.99,Africa,Waking up,Lower middle,Closed autocracy
Armenia,6.69,37.84,58.4,0.28,0.33,14.4,1.37,17.04,Europe,Waking up,Upper middle,Electoral democracy
Sri Lanka,6.27,34.64,35.79,0.12,0.95,35.57,0.09,16.2,Asia-Pacific,Nascent,Lower middle,Electoral democracy
Egypt,1.11,38.84,0.0,2.08,1.54,68.72,0.31,16.09,Middle East,Nascent,Lower middle,Electoral autocracy
Kenya,0.75,14.11,29.84,0.07,12.15,7.75,0.31,9.28,Africa,Nascent,Lower middle,Electoral autocracy
Nigeria,2.74,0.0,50.1,0.45,2.06,7.75,0.33,9.06,Africa,Nascent,Lower middle,Electoral autocracy
Pakistan,8.0,2.43,12.48,2.17,1.09,13.92,0.27,5.77,Asia-Pacific,Nascent,Lower middle,Electoral autocracy
